\\NASSY\Music\Green Day Complete Official Discography (1990-2012) [WwW.LoKoTorrents.CoM]\Singles\2009 - 21 Guns (W817)\01. 21 Guns.mp3	1
\\NASSY\Music\Punk Goes Pop, Vol 6 [15 Tracks] (320kbps)\14. Chandelier.mp3	2
\\NASSY\Music\Punk Goes Pop 4 [CDRip][320kbps]\10 Yeah 3X - Allstar Weekend.mp3	-6
\\NASSY\Music\The Offspring\2005 Greatest Hits\03-Self Esteem.mp3	99
\\NASSY\Music\The Offspring\1994 Smash\08-Self Esteem.mp3	-99
\\NASSY\Music\Unorganized\The Verve - Bitter Sweet Symphony [Single] [1997]- Sebastian[Ub3r]\The Verve - Bitter Sweet Symphony [Single] [1997]- Sebastian[Ub3r].mp3	99
\\NASSY\Music\The Presidents Of The United States Of America\The Presidents Of The United States Of America - Ten Year Super Bonus Special (Anniversary Edition)\03. Lump.mp3	10
\\NASSY\Music\The Presidents Of The United States Of America\The Presidents Of The United States Of America - The Presidents Of The United States Of America\03. Lump.mp3	-999
\\NASSY\Music\The Presidents Of The United States Of America\The Presidents Of The United States Of America - Pure Frosting\13. Lump (Live).mp3	-99
\\NASSY\Music\The Presidents Of The United States Of America\The Presidents Of The United States Of America - Love Everybody\16. Lump (Bonus Track).mp3	-99
\\NASSY\Music\The Presidents Of The United States Of America\The Presidents Of The United States Of America - Ten Year Super Bonus Special (Anniversary Edition)\21. Lump (Demo Version).mp3	-99
\\NASSY\Music\Oasis\Oasis - What's The Story Morning Glory [1995]\09  Oasis - Don't Look Back In Anger.mp3	99
\\NASSY\Music\Oasis\Oasis - Familiar to Millions\10. Dont Look Back in Anger.mp3	-99
\\NASSY\Music\Oasis\Oasis-Stop_The_Clocks-(Deluxe_Edition)-3CD-2006-EON\209-oasis-dont_look_back_in_anger.mp3	-99
\\NASSY\Music\Betraying The Martyrs - Phantom 2014 [MP3@192kbps] - the.HH\04 Let It Go.mp3	2
\\NASSY\Music\Green Day Complete Official Discography (1990-2012) [WwW.LoKoTorrents.CoM]\Compilation (Official)\2006 - Greatest Hits\CD1\01. Holiday.mp3	4
\\NASSY\Music\Green Day Complete Official Discography (1990-2012) [WwW.LoKoTorrents.CoM]\Compilation (Official)\2006 - Greatest Hits\CD1\02. American Idiot.mp3	3
\\NASSY\Music\V.A.The.All.Time.Greatest.Rock.Songs.Of.The.60s.70s.80s.And.90s-TDG\Cd2-TDG\14.House.Of.The.Rising.Sun.The.Animals-TDG.mp3	1
